"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","success","button_pressed","left_right_s1","left_right_s2","reward_s1","reward_s2"
"pavlovia","0","4","0.0-0.0","","","","","","","","",""
"html-keyboard-response","1","3903","0.0-1.0","3897.7950000044075","<p><span style='font-size:20pt;'>実験にお越しいただき，ありがとうございます!!!</span></p><p>キーボードのキーをどれか押して，開始してください</p>","32","","","","","",""
"fullscreen","2","6284","0.0-2.0","","","","true","","","","",""
"html-keyboard-response","3","52233","0.0-3.0","45949.88999999623","<p style='text-align:left'>画面に２つの図形がでてきますので，どちらかの図形を選択してください。</p><p style='text-align'>あなたの選択に対して，ポジティブな反応（緑色の笑顔）かネガティブな反応（赤色の悲しい顔）が出ます。</p><p style='text-align:left'>一方の図形はポジティブな反応が出やすく，もう一方はそうではありません。</p><p style='text-align:left'>できるだけ，ポジティブな反応が得られるように，選択をしてください。</p><p style='text-align:left'>図形の選択はマウスを使って行ってください</p><p style='text-align:left'>なお，図形とそれに対する反応との関係は途中で変わることがあります。</p><p style='text-align:left'>また，図形の出る位置（左右）は頻繁に変わります。</p><p style='text-align:left'>準備ができましたら，キーボードのキーを押して始めてください。</p>","32","","","","","",""
"html-button-response","4","54060","0.0-4.0-0.0","823.8750000018626","","","","1","1","2","1","1"
"html-keyboard-response","5","54562","0.0-4.0-1.0","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2s.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","6","55563","0.0-4.0-2.0","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/reward.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","7","57062","0.0-4.0-3.0","null","<p style=""font-size: 48px"">+</p>","null","","","","","",""
"html-button-response","8","57528","0.0-4.0-0.1","464.9950000020908","","","","1","1","2","1","0"
"html-keyboard-response","9","58032","0.0-4.0-1.1","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2s.jpeg' width='200px'/></p>","null","","","","","",""
"html-keyboard-response","10","59037","0.0-4.0-2.1","null","<p style='position: absolute; top: 40%;left: 20%'><img src='img/s1.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 20%'><img src='img/s2s.jpeg' width='200px'/></p> <p style='position: absolute; top: 40%;right: 45%'><img src='img/punishment.jpeg' width='200px'/></p>","null","","","","","",""
