"shaps1","shaps2","shaps3","shaps4","shaps5","shaps6","shaps7","shaps8","shaps9","shaps10","shaps11","shaps12","shaps13","shaps14"
2,2,2,2,2,2,2,3,3,2,2,2,2,2
2,1,1,1,2,2,1,2,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,1,1,2,2,2,2,2,1,2,2
3,2,3,1,3,2,2,3,3,3,2,3,2,2
1,1,1,1,1,1,1,2,2,1,1,1,1,1
2,2,2,2,2,2,2,3,2,2,2,1,1,1
2,2,2,2,1,1,2,2,2,2,2,1,2,2
2,2,2,2,1,2,1,2,2,3,3,2,2,2
2,2,2,1,2,2,2,3,2,2,3,2,2,2
2,3,2,3,2,1,2,3,1,3,3,3,3,3
2,2,2,1,2,2,2,2,2,2,2,2,2,1
1,2,2,1,1,2,2,2,1,2,2,1,1,1
2,2,2,2,2,2,2,3,2,2,2,2,1,2
1,2,1,1,1,1,2,3,3,2,2,1,2,2
1,2,1,1,1,2,2,2,1,1,1,1,2,1
2,2,1,2,1,2,3,4,3,2,3,1,3,2
2,2,1,1,2,2,2,2,1,1,2,2,1,1
2,3,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,3,2,2,2
3,2,2,2,2,2,2,3,1,2,2,2,2,2
1,2,2,1,2,1,2,2,2,3,2,1,2,2
1,3,2,2,2,2,2,3,1,2,2,2,2,2
2,2,2,2,1,2,2,3,1,1,2,2,3,2
4,4,2,2,1,2,2,1,3,2,3,2,2,1
2,1,2,1,2,2,1,2,1,2,2,1,2,1
2,3,2,3,2,2,3,3,3,2,3,3,3,3
3,1,1,1,1,3,1,3,1,2,1,1,1,2
2,3,1,3,2,3,3,3,3,3,3,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,1,1
3,2,2,2,2,2,3,2,2,1,1,3,3,3
1,1,1,1,1,1,1,2,1,1,1,1,1,1
2,2,2,2,2,2,1,2,3,2,2,2,1,1
2,3,1,1,2,2,1,3,4,3,2,1,1,1
2,1,1,1,1,1,2,1,1,1,1,1,2,1
3,4,3,3,2,4,2,3,4,2,4,3,1,2
1,1,1,1,1,2,2,1,2,2,2,2,2,1
2,3,2,2,3,3,3,4,3,2,3,2,2,2
1,2,1,2,2,4,3,3,1,3,3,4,3,3
1,2,1,2,2,2,2,3,2,2,2,1,2,2
1,2,1,1,1,2,2,2,1,1,2,2,2,1
2,2,1,1,1,2,1,4,3,2,4,3,2,2
2,2,2,3,3,2,2,2,2,2,2,2,2,2
2,4,2,2,1,2,2,4,2,3,3,1,2,2
2,3,1,1,2,2,2,3,1,2,3,2,2,2
1,3,2,2,2,1,3,4,4,4,4,1,2,1
3,1,1,1,2,2,1,3,4,2,2,2,1,1
1,2,1,1,2,2,2,2,2,2,2,2,1,1
2,2,2,1,1,1,1,2,1,1,1,1,1,2
2,2,2,1,3,2,2,3,2,1,2,2,2,1
2,2,1,1,2,2,2,1,2,2,2,1,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,1,2,2,2,2,2,2,2,3,1,2,2
2,1,2,1,2,2,1,2,4,3,2,2,2,2
2,3,2,2,2,3,3,4,3,3,4,2,3,3
2,3,2,1,1,2,2,3,2,1,2,1,2,2
1,3,3,1,1,2,3,3,2,2,2,3,3,3
1,1,1,2,2,1,2,2,2,1,2,1,2,1
2,2,1,1,1,2,2,3,2,2,2,1,2,2
2,3,1,1,2,1,3,3,4,1,1,1,1,1
2,2,2,1,2,1,1,3,2,1,2,1,1,2
4,2,2,1,1,1,1,1,1,1,2,1,1,1
3,2,1,1,1,2,1,1,2,1,2,1,1,1
2,3,2,2,2,3,3,3,3,4,4,3,4,3
2,2,2,2,2,2,2,2,2,2,2,2,1,1
1,2,1,1,1,1,1,2,2,1,2,1,1,1
1,1,2,1,1,2,2,2,2,2,2,2,2,1
4,4,3,2,2,2,2,2,3,3,2,2,2,2
1,1,1,1,1,1,2,2,3,1,2,2,2,2
3,1,2,1,2,2,2,2,2,2,2,3,2,1
1,1,2,2,2,2,2,2,3,2,3,3,3,2
3,3,2,2,2,2,2,2,2,2,2,2,2,2
2,1,1,1,1,1,1,2,1,1,1,1,1,2
2,2,1,2,1,2,2,3,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2,2,2,2,2,2
3,2,2,2,2,3,1,3,2,2,2,2,2,1
3,3,2,2,2,2,2,2,1,1,2,2,2,2
2,2,2,1,1,2,2,2,2,1,3,2,2,2
2,1,1,1,1,1,1,2,1,1,1,1,1,2
1,2,1,1,2,2,2,2,1,2,2,2,2,2
2,2,1,1,1,1,1,1,2,2,1,1,1,1
3,2,2,3,3,2,2,2,2,3,3,2,2,2
1,1,1,1,1,1,1,1,1,1,2,1,1,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,3,2,2,2,2,3,2,2,2
2,1,1,1,1,1,1,1,1,1,1,1,2,1
2,3,3,2,2,2,2,3,2,3,2,2,2,2
1,2,2,1,2,2,2,1,4,2,2,1,2,1
2,2,2,1,2,2,2,3,2,1,3,2,2,1
2,2,2,1,2,1,1,3,2,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,1,2,2
2,2,3,2,2,3,2,3,3,2,2,2,2,2
2,2,1,2,2,2,3,3,2,2,3,1,2,1
3,3,3,3,2,2,2,3,3,2,3,2,2,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,1,1,1,2,1,1,3,1,2,1,1,1
1,2,1,1,2,3,2,3,3,2,2,2,2,1
3,2,1,1,1,1,2,3,4,4,2,1,1,1
2,4,4,4,4,4,3,4,3,4,4,3,2,2
1,1,1,1,1,2,1,2,3,2,2,1,1,1
2,1,2,1,1,1,2,2,2,2,2,2,2,2
2,2,2,1,2,3,2,3,3,3,2,2,2,2
1,1,2,1,1,1,1,2,1,3,1,2,2,1
4,1,1,1,2,1,2,3,1,2,1,1,1,2
1,2,2,1,1,2,2,1,2,2,2,1,2,2
2,2,1,1,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,2,1,1,2,2,2,1,1,1,1
2,2,2,2,2,1,2,2,2,1,2,1,2,2
