"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","stimulus"
"5636","32","text","0","5642","0.0-0.0","",""
"1908","90","categorize","1","10564","0.0-1.0-0.0","true","img/slot.png"
"510","90","categorize","2","14083","0.0-1.0-1.0","true","img/slot.png"
"122","90","categorize","3","17210","0.0-1.0-2.0","false","img/slot.png"
"314","77","categorize","4","20531","0.0-1.0-3.0","false","img/slot.png"
"80","90","categorize","5","23619","0.0-1.0-4.0","true","img/slot.png"
"441","90","categorize","6","27068","0.0-1.0-5.0","true","img/slot.png"
"562","90","categorize","7","30638","0.0-1.0-6.0","true","img/slot.png"
"349","90","categorize","8","33995","0.0-1.0-7.0","true","img/slot.png"
"626","90","categorize","9","37626","0.0-1.0-8.0","false","img/slot.png"
"353","90","categorize","10","40987","0.0-1.0-9.0","false","img/slot.png"
"241","77","categorize","11","44238","0.0-1.0-10.0","false","img/slot.png"
"1478","90","categorize","12","48724","0.0-1.0-11.0","false","img/slot.png"
"376","77","categorize","13","52109","0.0-1.0-12.0","false","img/slot.png"
"326","90","categorize","14","55441","0.0-1.0-13.0","false","img/slot.png"
"626","90","categorize","15","59075","0.0-1.0-14.0","true","img/slot.png"
"912","90","categorize","16","62997","0.0-1.0-15.0","true","img/slot.png"
"1231","90","categorize","17","67237","0.0-1.0-16.0","false","img/slot.png"
"357","90","categorize","18","70603","0.0-1.0-17.0","true","img/slot.png"
"504","90","categorize","19","74116","0.0-1.0-18.0","true","img/slot.png"
"399","90","categorize","20","77523","0.0-1.0-19.0","true","img/slot.png"
"486","90","categorize","21","81018","0.0-1.0-20.0","true","img/slot.png"
"1282","90","categorize","22","85310","0.0-1.0-21.0","false","img/slot.png"
"4334","77","categorize","23","92649","0.0-1.0-22.0","false","img/slot.png"
"449","90","categorize","24","96104","0.0-1.0-23.0","true","img/slot.png"
"378","90","categorize","25","99489","0.0-1.0-24.0","true","img/slot.png"
"474","90","categorize","26","102972","0.0-1.0-25.0","true","img/slot.png"
"2366","90","categorize","27","108347","0.0-1.0-26.0","false","img/slot.png"
"1271","77","categorize","28","112625","0.0-1.0-27.0","true","img/slot.png"
"593","77","categorize","29","116224","0.0-1.0-28.0","false","img/slot.png"
"338","90","categorize","30","119568","0.0-1.0-29.0","true","img/slot.png"
"450","90","categorize","31","123027","0.0-1.0-30.0","true","img/slot.png"
"302","90","categorize","32","126336","0.0-1.0-31.0","true","img/slot.png"
"402","90","categorize","33","129749","0.0-1.0-32.0","true","img/slot.png"
"460","90","categorize","34","133215","0.0-1.0-33.0","false","img/slot.png"
"297","90","categorize","35","136523","0.0-1.0-34.0","true","img/slot.png"
"357","90","categorize","36","139888","0.0-1.0-35.0","true","img/slot.png"
"335","90","categorize","37","143234","0.0-1.0-36.0","false","img/slot.png"
"336","90","categorize","38","146577","0.0-1.0-37.0","true","img/slot.png"
"319","90","categorize","39","149904","0.0-1.0-38.0","false","img/slot.png"
"410","90","categorize","40","153321","0.0-1.0-39.0","true","img/slot.png"
"237","90","categorize","41","156566","0.0-2.0-0.0","true","img/slot.png"
"330","90","categorize","42","159905","0.0-2.0-1.0","false","img/slot.png"
"309","90","categorize","43","163226","0.0-2.0-2.0","false","img/slot.png"
